IMDB id,Title,Year,Rating,Genre,Top_cast,Top casts
tt1187043,3 Idiots,2009.0,8.4,"Comedy, Drama",AamirKhan Madhavan MonaSingh SharmanJoshi KareenaKapoor,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi, Kareena Kapoor"
tt0986264,Like Stars on Earth,2007.0,8.3,"Drama, Family",DarsheelSafary AamirKhan TanayChheda SachetEngineer TiscaChopra,"Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer, Tisca Chopra"
tt2338151,PK,2014.0,8.1,"Comedy, Drama, Sci-Fi",AamirKhan AnushkaSharma SanjayDutt BomanIrani SaurabhShukla,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani, Saurabh Shukla"
tt5074352,Dangal,2016.0,8.3,"Action, Biography, Drama",AamirKhan SakshiTanwar FatimaSanaShaikh SanyaMalhotra AparshaktiKhurana,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana"
tt0405508,Rang De Basanti,2006.0,8.1,"Comedy, Crime, Drama",AamirKhan SohaAliKhan Siddharth SharmanJoshi KunalKapoor,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi, Kunal Kapoor"
tt0169102,Lagaan: Once Upon a Time in India,2001.0,8.1,"Drama, Musical, Sport",AamirKhan RaghubirYadav GracySingh RachelShelley PaulBlackthorne,"Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley, Paul Blackthorne"
tt1188996,My Name Is Khan,2010.0,7.9,"Adventure, Drama, Romance",ShahRukhKhan Kajol SheetalMenon KatieAmandaKeane KentonDuty,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane, Kenton Duty"
tt0367110,Swades,2004.0,8.2,"Drama, Musical",ShahRukhKhan GayatriJoshi KishoriBallal SmithSeth LekhTandon,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth, Lekh Tandon"
tt1954470,Gangs of Wasseypur,2012.0,8.2,"Action, Comedy, Crime",ManojBajpayee NawazuddinSiddiqui TigmanshuDhulia RichaChadha ReemaSen,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha, Reema Sen"
tt1954470,Gangs of Wasseypur,2012.0,8.2,"Action, Comedy, Crime",ManojBajpayee NawazuddinSiddiqui TigmanshuDhulia RichaChadha ReemaSen,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha, Reema Sen"
tt2082197,Barfi!,2012.0,8.1,"Comedy, Drama, Romance",RanbirKapoor PriyankaChopraJonas IleanaD'Cruz SaurabhShukla RoopaGanguly,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla, Roopa Ganguly"
tt0871510,Chak De! India,2007.0,8.1,"Drama, Family, Sport",ShahRukhKhan VidyaMalvade SagarikaGhatge ShilpaShukla ChitrashiRawat,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla, Chitrashi Rawat"
tt0374887,Munna Bhai M.B.B.S.,2003.0,8.1,"Comedy, Drama",SanjayDutt ArshadWarsi GracySingh BomanIrani SunilDutt,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani, Sunil Dutt"
tt3863552,Bajrangi Bhaijaan,2015.0,8.1,"Action, Adventure, Comedy",SalmanKhan HarshaaliMalhotra NawazuddinSiddiqui KareenaKapoor SharatSaxena,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor, Sharat Saxena"
tt0292490,Dil Chahta Hai,2001.0,8.1,"Comedy, Drama, Romance",AamirKhan SaifAliKhan AkshayeKhanna PreityGZinta SonaliKulkarni,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta, Sonali Kulkarni"
tt1562872,Zindagi Na Milegi Dobara,2011.0,8.2,"Comedy, Drama, Musical",HrithikRoshan FarhanAkhtar AbhayDeol KatrinaKaif KalkiKoechlin,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif, Kalki Koechlin"
tt0112870,Dilwale Dulhania Le Jayenge,1995.0,8.0,"Drama, Romance",ShahRukhKhan Kajol AmrishPuri FaridaJalal AnupamKher,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher"
